SG_UF,NM_MUNICIPIO,QT_VOTOS_NOMINAIS_VALIDOS
PR,CENTENÁRIO DO SUL,12867
PR,CERRO AZUL,19494
PR,CHOPINZINHO,24694
PR,CIANORTE,78233
PR,CIDADE GAÚCHA,13491
PR,CLEVELÂNDIA,18999
PR,COLOMBO,182137
PR,COLORADO,26721
PR,CONGONHINHAS,9919
PR,CONSELHEIRO MAIRINCK,4853
PR,CONTENDA,18925
PR,CORBÉLIA,18122
PR,CORNÉLIO PROCÓPIO,49307
PR,CORONEL DOMINGOS SOARES,8174
PR,CORONEL VIVIDA,25350
PR,CORUMBATAÍ DO SUL,5719
PR,CRUZ MACHADO,20726
PR,CRUZEIRO DO IGUAÇU,5760
PR,CRUZEIRO DO OESTE,22500
PR,CRUZEIRO DO SUL,6114
PR,CRUZMALTINA,4494
PR,CURITIBA,1567496
PR,CURIÚVA,14125
PR,CÂNDIDO DE ABREU,16711
PR,CÉU AZUL,13439
PR,DIAMANTE D OESTE,5942
PR,DIAMANTE DO NORTE,7083
PR,DIAMANTE DO SUL,5343
PR,DOIS VIZINHOS,46934
PR,DOURADINA,10140
PR,DOUTOR CAMARGO,7679
PR,DOUTOR ULYSSES,7692
PR,ENGENHEIRO BELTRÃO,15703
PR,ENTRE RIOS DO OESTE,5992
PR,ENÉAS MARQUES,8787
PR,ESPERANÇA NOVA,3715
PR,ESPIGÃO ALTO DO IGUAÇU,6843
PR,FAROL,4368
PR,FAXINAL,17187
PR,FAZENDA RIO GRANDE,95224
PR,FERNANDES PINHEIRO,8593
PR,FIGUEIRA,9612
PR,FLOR DA SERRA DO SUL,7680
PR,FLORAÍ,7448
PR,FLORESTA,10612
PR,FLORESTÓPOLIS,14669
PR,FLÓRIDA,3952
PR,FORMOSA DO OESTE,9397
PR,FOZ DO IGUAÇU,247387
PR,FOZ DO JORDÃO,7060
PR,FRANCISCO ALVES,12132
PR,FRANCISCO BELTRÃO,90021
PR,FÊNIX,6587
PR,GENERAL CARNEIRO,12248
PR,GODOY MOREIRA,4442
PR,GOIOERÊ,31457
PR,GOIOXIM,8790
PR,GRANDES RIOS,7542
PR,GUAIRAÇÁ,8175
PR,GUAMIRANGA,9999
PR,GUAPIRAMA,6061
PR,GUAPOREMA,3240
PR,GUARACI,6986
PR,GUARANIAÇU,16974
PR,GUARAPUAVA,154940
PR,GUARAQUEÇABA,10300
PR,GUARATUBA,38073
PR,GUAÍRA,31547
PR,HONÓRIO SERPA,5852
PR,IBAITI,27998
PR,IBEMA,7377
PR,IBIPORÃ,51663
PR,ICARAÍMA,10598
PR,IGUARAÇU,6248
PR,IGUATU,3498
PR,IMBAÚ,12337
PR,IMBITUVA,34555
PR,INAJÁ,3715
PR,INDIANÓPOLIS,5118
PR,INÁCIO MARTINS,12919
PR,IPIRANGA,17293
PR,IPORÃ,17099
PR,IRACEMA DO OESTE,3880
PR,IRATI,62192
PR,IRETAMA,11655
PR,ITAGUAJÉ,5582
PR,ITAIPULÂNDIA,15164
PR,ITAMBARACÁ,7549
PR,ITAMBÉ,7727
PR,ITAPEJARA D OESTE,14510
PR,ITAPERUÇU,32983
PR,ITAÚNA DO SUL,4408
PR,IVAIPORÃ,35733
PR,IVATUBA,3973
PR,IVATÉ,8889
PR,IVAÍ,16203
PR,JABOTI,6849
PR,JACAREZINHO,32217
PR,JAGUAPITÃ,13964
PR,JAGUARIAÍVA,34916
PR,JANDAIA DO SUL,23109
PR,JANIÓPOLIS,7548
PR,JAPIRA,5286
PR,JAPURÁ,10782
PR,JARDIM ALEGRE,14130
PR,JARDIM OLINDA,2199
PR,JATAIZINHO,14006
PR,JESUÍTAS,11387
PR,JOAQUIM TÁVORA,13503
PR,JUNDIAÍ DO SUL,3220
PR,JURANDA,8009
PR,JUSSARA,8752
PR,KALORÉ,6133
PR,LAPA,48854
PR,LARANJAL,7390
PR,LARANJEIRAS DO SUL,34659
PR,LEÓPOLIS,5254
PR,LIDIANÓPOLIS,5179
PR,LINDOESTE,7949
PR,LOANDA,22188
PR,LOBATO,6288
PR,LONDRINA,459006
PR,LUIZIANA,8755
PR,LUNARDELLI,6073
PR,LUPIONÓPOLIS,6424
PR,MALLET,15860
PR,MAMBORÊ,16480
PR,MANDAGUARI,38554
PR,MANDAGUAÇU,24067
PR,MANDIRITUBA,27522
PR,MANFRINÓPOLIS,5252
PR,MANGUEIRINHA,20431
PR,MANOEL RIBAS,16988
PR,MARECHAL CÂNDIDO RONDON,54813
PR,MARIA HELENA,5725
PR,MARIALVA,39663
PR,MARILENA,8761
PR,MARILUZ,12297
PR,MARILÂNDIA DO SUL,10971
PR,MARINGÁ,343541
PR,MARIPÁ,8206
PR,MARIÓPOLIS,8536
PR,MARMELEIRO,16892
PR,MARQUINHO,4910
PR,MARUMBI,6021
PR,MATELÂNDIA,19844
PR,MATINHOS,36348
PR,MATO RICO,5185
PR,MAUÁ DA SERRA,11060
PR,MEDIANEIRA,50129
PR,MERCEDES,8132
PR,MIRADOR,3581
PR,MIRASELVA,3003
PR,MISSAL,14709
PR,MOREIRA SALES,12488
PR,MORRETES,19273
PR,MUNHOZ DE MELO,6880
PR,NOSSA SENHORA DAS GRAÇAS,4979
PR,NOVA ALIANÇA DO IVAÍ,2417
PR,NOVA AMÉRICA DA COLINA,5261
PR,NOVA AURORA,15685
PR,NOVA CANTU,9645
PR,NOVA ESPERANÇA,25231
PR,NOVA ESPERANÇA DO SUDOESTE,7550
PR,NOVA FÁTIMA,7292
PR,NOVA LARANJEIRAS,12417
PR,NOVA LONDRINA,13410
PR,NOVA OLÍMPIA,7643
PR,NOVA PRATA DO IGUAÇU,17138
PR,NOVA SANTA BÁRBARA,5591
PR,NOVA SANTA ROSA,11174
PR,NOVA TEBAS,9124
PR,NOVO ITACOLOMI,4644
PR,ORTIGUEIRA,27777
PR,OURIZONA,4476
PR,OURO VERDE DO OESTE,7765
PR,PAIÇANDU,36407
PR,PALMAS,41066
PR,PALMEIRA,37741
PR,PALMITAL,16539
PR,PALOTINA,33749
PR,PARANACITY,11200
PR,PARANAGUÁ,141015
PR,PARANAPOEMA,3596
PR,PARANAVAÍ,76623
PR,PARAÍSO DO NORTE,14132
PR,PATO BRAGADO,7255
PR,PATO BRANCO,85347
PR,PAULA FREITAS,7237
PR,PAULO FRONTIN,8905
PR,PEABIRU,14422
PR,PEROBAL,8144
PR,PINHAIS,115579
PR,PINHAL DE SÃO BENTO,3935
PR,PINHALÃO,8549
PR,PINHÃO,33232
PR,PIRAQUARA,82037
PR,PIRAÍ DO SUL,26767
PR,PITANGA,38864
PR,PITANGUEIRAS,4243
PR,PIÊN,16416
PR,PLANALTINA DO PARANÁ,5349
PR,PLANALTO,16064
PR,PONTA GROSSA,484407
PR,PONTAL DO PARANÁ,26699
PR,PORECATU,14486
PR,PORTO AMAZONAS,6244
PR,PORTO BARREIRO,5493
PR,PORTO RICO,4158
PR,PORTO VITÓRIA,4900
PR,PRADO FERREIRA,5026
PR,PRANCHITA,6221
PR,PRESIDENTE CASTELO BRANCO,6285
PR,PRIMEIRO DE MAIO,13573
PR,PRUDENTÓPOLIS,54937
PR,PÉROLA,13156
PR,PÉROLA D OESTE,8859
PR,QUARTO CENTENÁRIO,5758
PR,QUATIGUÁ,9036
PR,QUATRO BARRAS,22867
PR,QUATRO PONTES,6155
PR,QUEDAS DO IGUAÇU,34638
PR,QUERÊNCIA DO NORTE,11654
PR,QUINTA DO SOL,6719
PR,QUITANDINHA,21321
PR,RAMILÂNDIA,5343
PR,RANCHO ALEGRE,4429
PR,RANCHO ALEGRE D OESTE,4023
PR,REALEZA,21493
PR,REBOUÇAS,17774
PR,RENASCENÇA,7923
PR,RESERVA,28717
PR,RESERVA DO IGUAÇU,8337
PR,RIBEIRÃO CLARO,13510
PR,RIBEIRÃO DO PINHAL,13564
PR,RIO AZUL,17554
PR,RIO BOM,4698
PR,RIO BONITO DO IGUAÇU,17742
PR,RIO BRANCO DO IVAÍ,5582
PR,RIO BRANCO DO SUL,41101
PR,RIO NEGRO,30430
PR,ROLÂNDIA,58776
PR,RONCADOR,13098
PR,RONDON,10844
PR,ROSÁRIO DO IVAÍ,7500
PR,SABÁUDIA,9457
PR,SALGADO FILHO,5113
PR,SALTO DO ITARARÉ,6628
PR,SALTO DO LONTRA,17217
PR,SANTA AMÉLIA,4904
PR,SANTA CECÍLIA DO PAVÃO,4742
PR,SANTA CRUZ DE MONTE CASTELO,9369
PR,SANTA FÉ,13027
PR,SANTA HELENA,32572
PR,SANTA INÊS,2921
PR,SANTA ISABEL DO IVAÍ,9817
PR,SANTA IZABEL DO OESTE,14451
PR,SANTA LÚCIA,5304
PR,SANTA MARIA DO OESTE,12920
PR,SANTA MARIANA,14022
PR,SANTA MÔNICA,4613
PR,SANTA TEREZA DO OESTE,14073
PR,SANTA TEREZINHA DE ITAIPU,26605
PR,SANTANA DO ITARARÉ,5742
PR,SANTO ANTONIO DO CAIUÁ,3937
PR,SANTO ANTÔNIO DA PLATINA,42951
PR,SANTO ANTÔNIO DO PARAÍSO,3657
PR,SANTO ANTÔNIO DO SUDOESTE,23026
PR,SANTO INÁCIO,7507
PR,SAPOPEMA,8224
PR,SARANDI,61317
PR,SAUDADE DO IGUAÇU,8204
PR,SENGÉS,18509
PR,SERRANÓPOLIS DO IGUAÇU,7011
PR,SERTANEJA,7383
PR,SERTANÓPOLIS,19136
PR,SIQUEIRA CAMPOS,20662
PR,SULINA,4666
PR,SÃO CARLOS DO IVAÍ,8572
PR,SÃO JERÔNIMO DA SERRA,11798
PR,SÃO JORGE D OESTE,12982
PR,SÃO JORGE DO IVAÍ,7654
PR,SÃO JORGE DO PATROCÍNIO,8361
PR,SÃO JOSÉ DA BOA VISTA,7643
PR,SÃO JOSÉ DAS PALMEIRAS,4828
PR,SÃO JOSÉ DOS PINHAIS,254026
PR,SÃO JOÃO,14436
PR,SÃO JOÃO DO CAIUÁ,7407
PR,SÃO JOÃO DO IVAÍ,13129
PR,SÃO JOÃO DO TRIUNFO,17343
PR,SÃO MANOEL DO PARANÁ,3294
PR,SÃO MATEUS DO SUL,48109
PR,SÃO MIGUEL DO IGUAÇU,31539
PR,SÃO PEDRO DO IGUAÇU,7660
PR,SÃO PEDRO DO IVAÍ,10211
PR,SÃO PEDRO DO PARANÁ,4118
PR,SÃO SEBASTIÃO DA AMOREIRA,10160
PR,SÃO TOMÉ,7482
PR,TAMARANA,12086
PR,TAMBOARA,6319
PR,TAPEJARA,18168
PR,TAPIRA,7338
PR,TEIXEIRA SOARES,12276
PR,TELÊMACO BORBA,71289
PR,TERRA BOA,19455
PR,TERRA RICA,16178
PR,TERRA ROXA,19242
PR,TIBAGI,20622
PR,TIJUCAS DO SUL,17646
PR,TOLEDO,137715
PR,TOMAZINA,8934
PR,TRÊS BARRAS DO PARANÁ,14601
PR,TUNAS DO PARANÁ,8302
PR,TUNEIRAS DO OESTE,10947
PR,TUPÃSSI,9694
PR,TURVO,16950
PR,UBIRATÃ,28673
PR,UMUARAMA,95039
PR,UNIFLOR,3792
PR,UNIÃO DA VITÓRIA,50738
PR,URAÍ,12641
PR,VENTANIA,11550
PR,VERA CRUZ DO OESTE,10562
PR,VERÊ,12186
PR,VIRMOND,5876
PR,VITORINO,8241
PR,WENCESLAU BRAZ,20473
PR,XAMBRÊ,8573
PR,ÂNGULO,4361
RJ,ANGRA DOS REIS,170018
RJ,APERIBÉ,13797
RJ,ARARUAMA,121688
RJ,AREAL,14378
RJ,ARMAÇÃO DOS BÚZIOS,42446
RJ,ARRAIAL DO CABO,44796
RJ,BARRA DO PIRAÍ,87878
RJ,BARRA MANSA,170890
RJ,BELFORD ROXO,408182
RJ,BOM JARDIM,29826
RJ,BOM JESUS DO ITABAPOANA,43727
RJ,CABO FRIO,178187
RJ,CACHOEIRAS DE MACACU,62264
RJ,CAMBUCI,20315
RJ,CAMPOS DOS GOYTACAZES,717430
RJ,CANTAGALO,22993
RJ,CARAPEBUS,26198
RJ,CARDOSO MOREIRA,18557
RJ,CARMO,22054
RJ,CASIMIRO DE ABREU,39151
RJ,COMENDADOR LEVY GASPARIAN,12977
RJ,CONCEIÇÃO DE MACABU,25933
RJ,CORDEIRO,24985
RJ,DUAS BARRAS,15631
RJ,DUQUE DE CAXIAS,819957
RJ,ENGENHEIRO PAULO DE FRONTIN,16843
RJ,GUAPIMIRIM,59232
RJ,IGUABA GRANDE,35991
RJ,ITABORAÍ,215521
RJ,ITAGUAÍ,123845
RJ,ITALVA,17278
RJ,ITAOCARA,29203
RJ,ITAPERUNA,99226
RJ,ITATIAIA,40095
RJ,JAPERI,98208
RJ,LAJE DO MURIAÉ,11016
RJ,MACAÉ,191564
RJ,MACUCO,9908
RJ,MAGÉ,267074
RJ,MANGARATIBA,49011
RJ,MARICÁ,170830
RJ,MENDES,18886
RJ,MESQUITA,170316
RJ,MIGUEL PEREIRA,31456
RJ,MIRACEMA,31472
RJ,NATIVIDADE,18990
RJ,NILÓPOLIS,162311
RJ,NITERÓI,476444
RJ,NOVA FRIBURGO,187805
RJ,NOVA IGUAÇU,698287
RJ,PARACAMBI,47611
RJ,PARATY,45186
RJ,PARAÍBA DO SUL,45778
RJ,PATY DO ALFERES,26420
RJ,PETRÓPOLIS,398676
RJ,PINHEIRAL,25377
RJ,PIRAÍ,31778
RJ,PORCIÚNCULA,18908
RJ,PORTO REAL,27814
RJ,QUATIS,16069
RJ,QUEIMADOS,130563
RJ,QUISSAMÃ,29387
RJ,RESENDE,127453
RJ,RIO BONITO,50490
RJ,RIO CLARO,22368
RJ,RIO DAS FLORES,12634
RJ,RIO DAS OSTRAS,107744
RJ,RIO DE JANEIRO,7606754
RJ,SANTA MARIA MADALENA,16258
RJ,SANTO ANTÔNIO DE PÁDUA,46307
RJ,SAPUCAIA,23430
RJ,SAQUAREMA,89040
RJ,SEROPÉDICA,79777
RJ,SILVA JARDIM,25685
RJ,SUMIDOURO,22337
RJ,SÃO FIDÉLIS,42840
RJ,SÃO FRANCISCO DE ITABAPOANA,56130
RJ,SÃO GONÇALO,1108129
RJ,SÃO JOSÉ DE UBÁ,11842
RJ,SÃO JOSÉ DO VALE DO RIO PRETO,18553
RJ,SÃO JOÃO DA BARRA,54688
RJ,SÃO JOÃO DE MERITI,679562
RJ,SÃO PEDRO DA ALDEIA,87059
RJ,SÃO SEBASTIÃO DO ALTO,11958
RJ,TANGUÁ,37379
RJ,TERESÓPOLIS,156658
RJ,TRAJANO DE MORAES,14041
RJ,TRÊS RIOS,83786
RJ,VALENÇA,71076
RJ,VARRE-SAI,13168
RJ,VASSOURAS,42090
RJ,VOLTA REDONDA,293433
RN,ACARI,14045
RN,AFONSO BEZERRA,15801
RN,ALEXANDRIA,17180
RN,ALMINO AFONSO,8872
RN,ALTO DO RODRIGUES,16695
RN,ANGICOS,15418
RN,ANTÔNIO MARTINS,8888
RN,APODI,45056
RN,AREIA BRANCA,34448
RN,AREZ,17847
RN,ASSÚ,66192
RN,BARAÚNA,32578
RN,BARCELONA,7963
RN,BAÍA FORMOSA,11561
RN,BENTO FERNANDES,7651
RN,BOA SAÚDE,12070
RN,BODÓ,5513
RN,BOM JESUS,12846
RN,BREJINHO,12478
RN,CAICÓ,66142
RN,CAIÇARA DO NORTE,8291
RN,CAIÇARA DO RIO DO VENTO,6178
RN,CAMPO GRANDE,13553
RN,CAMPO REDONDO,12539
RN,CANGUARETAMA,53572
RN,CARAÚBAS,28840
RN,CARNAUBAIS,14359
RN,CARNAÚBA DOS DANTAS,9714
RN,CEARÁ-MIRIM,79819
RN,CERRO CORÁ,13837
RN,CORONEL EZEQUIEL,7219
RN,CORONEL JOÃO PESSOA,6068
RN,CRUZETA,8433
RN,CURRAIS NOVOS,43743
RN,DOUTOR SEVERIANO,9264
RN,ENCANTO,7391
RN,EQUADOR,7351
RN,ESPÍRITO SANTO,11161
RN,EXTREMOZ,37368
RN,FELIPE GUERRA,11556
RN,FERNANDO PEDROZA,5270
RN,FLORÂNIA,12663
RN,FRANCISCO DANTAS,4560
RN,FRUTUOSO GOMES,6082
RN,GALINHOS,4463
RN,GOIANINHA,32081
RN,GOVERNADOR DIX-SEPT ROSADO,18386
RN,GROSSOS,15259
RN,GUAMARÉ,29580
RN,IELMO MARINHO,17878
RN,IPANGUAÇU,26840
RN,IPUEIRA,2831
RN,ITAJÁ,10431
RN,ITAÚ,8254
RN,JANDAÍRA,8998
RN,JANDUÍS,6928
RN,JAPI,8883
RN,JARDIM DE ANGICOS,4751
RN,JARDIM DE PIRANHAS,16689
RN,JARDIM DO SERIDÓ,15540
RN,JAÇANÃ,9037
RN,JOSÉ DA PENHA,8516
RN,JOÃO CÂMARA,37892
RN,JOÃO DIAS,5247
RN,JUCURUTU,23980
RN,JUNDIÁ,7426
RN,LAGOA D ANTA,9033
RN,LAGOA DE PEDRAS,11513
RN,LAGOA DE VELHOS,5398
RN,LAGOA NOVA,18285
RN,LAGOA SALGADA,15054
RN,LAJES,13174
RN,LAJES PINTADAS,8294
RN,LUCRÉCIA,5518
RN,LUÍS GOMES,10891
RN,MACAU,33404
RN,MACAÍBA,75128
RN,MAJOR SALES,4630
RN,MARCELINO VIEIRA,11172
RN,MARTINS,5253
RN,MAXARANGUAPE,14823
RN,MESSIAS TARGINO,7655
RN,MONTANHAS,13508
RN,MONTE ALEGRE,25697
RN,MONTE DAS GAMELEIRAS,4479
RN,MOSSORÓ,251099
RN,NATAL,685476
RN,NOVA CRUZ,40236
RN,NÍSIA FLORESTA,30905
RN,OLHO D ÁGUA DO BORGES,7530
RN,OURO BRANCO,7004
RN,PARANÁ,7287
RN,PARAZINHO,8495
RN,PARAÚ,7450
RN,PARELHAS,26805
RN,PARNAMIRIM,157657
RN,PASSA E FICA,13971
RN,PASSAGEM,6017
RN,PATU,15187
RN,PAU DOS FERROS,30600
RN,PEDRA GRANDE,6799
RN,PEDRA PRETA,5839
RN,PEDRO AVELINO,10276
RN,PEDRO VELHO,26892
RN,PENDÊNCIAS,16787
RN,PILÕES,5982
RN,PORTALEGRE,10050
RN,PORTO DO MANGUE,8302
RN,POÇO BRANCO,17228
RN,PUREZA,12299
RN,RAFAEL FERNANDES,8126
RN,RAFAEL GODEIRO,6599
RN,RIACHO DA CRUZ,4751
RN,RIACHO DE SANTANA,6159
RN,RIACHUELO,10332
RN,RIO DO FOGO,16066
RN,RODOLFO FERNANDES,7074
RN,RUY BARBOSA,6750
RN,SANTA CRUZ,36024
RN,SANTA MARIA,7451
RN,SANTANA DO MATOS,17138
RN,SANTANA DO SERIDÓ,4306
RN,SANTO ANTÔNIO,27758
RN,SENADOR ELÓI DE SOUZA,8869
RN,SENADOR GEORGINO AVELINO,6382
RN,SERRA CAIADA,12578
RN,SERRA DE SÃO BENTO,8589
RN,SERRA DO MEL,18177
RN,SERRA NEGRA DO NORTE,10544
RN,SERRINHA,10489
RN,SERRINHA DOS PINTOS,5728
RN,SEVERIANO MELO,11074
RN,SÃO BENTO DO NORTE,6177
RN,SÃO BENTO DO TRAIRÍ,6519
RN,SÃO FERNANDO,5907
RN,SÃO FRANCISCO DO OESTE,6651
RN,SÃO GONÇALO DO AMARANTE,105537
RN,SÃO JOSÉ DE MIPIBU,46407
RN,SÃO JOSÉ DO CAMPESTRE,15026
RN,SÃO JOSÉ DO SERIDÓ,7465
RN,SÃO JOÃO DO SABUGI,8505
RN,SÃO MIGUEL,24293
RN,SÃO MIGUEL DO GOSTOSO,13989
RN,SÃO PAULO DO POTENGI,20999
RN,SÃO PEDRO,10113
RN,SÃO RAFAEL,11819
RN,SÃO TOMÉ,14444
RN,SÃO VICENTE,8116
RN,SÍTIO NOVO,8188
RN,TABOLEIRO GRANDE,5030
RN,TAIPU,15853
RN,TANGARÁ,18349
RN,TENENTE ANANIAS,9497
RN,TENENTE LAURENTINO CRUZ,8472
RN,TIBAU,9660
RN,TIBAU DO SUL,19070
RN,TIMBAÚBA DOS BATISTAS,3523
RN,TOUROS,39506
RN,TRIUNFO POTIGUAR,6844
RN,UMARIZAL,13398
RN,UPANEMA,19360
RN,VENHA-VER,6146
RN,VERA CRUZ,15415
RN,VILA FLOR,4922
RN,VIÇOSA,2834
RN,VÁRZEA,7972
RN,ÁGUA NOVA,4858
RO,ALTA FLORESTA D OESTE,25835
RO,ALTO ALEGRE DOS PARECIS,11657
RO,ALTO PARAÍSO,16173
RO,ALVORADA DO OESTE,15658
RO,ARIQUEMES,79930
RO,BURITIS,27321
RO,CABIXI,7084
RO,CACAULÂNDIA,5858
RO,CACOAL,83629
RO,CAMPO NOVO DE RONDÔNIA,10275
RO,CANDEIAS DO JAMARI,24504
RO,CASTANHEIRAS,3723
RO,CEREJEIRAS,17566
RO,CHUPINGUAIA,10328
RO,COLORADO DO OESTE,15348
RO,CORUMBIARA,8394
RO,COSTA MARQUES,12635
RO,CUJUBIM,14614
RO,ESPIGÃO DO OESTE,26584
RO,GOVERNADOR JORGE TEIXEIRA,10253
RO,GUAJARÁ-MIRIM,37215
RO,ITAPUÃ DO OESTE,8544
RO,JARU,46789
RO,JI-PARANÁ,112057
RO,MACHADINHO D OESTE,29028
RO,MINISTRO ANDREAZZA,7984
RO,MIRANTE DA SERRA,12681
RO,MONTE NEGRO,13317
RO,NOVA BRASILÂNDIA D OESTE,18916
RO,NOVA MAMORÉ,23293
RO,NOVA UNIÃO,7856
RO,NOVO HORIZONTE DO OESTE,10087
RO,OURO PRETO DO OESTE,38325
RO,PARECIS,5126
RO,PIMENTA BUENO,29294
RO,PIMENTEIRAS DO OESTE,3141
RO,PORTO VELHO,632964
RO,PRESIDENTE MÉDICI,20617
RO,PRIMAVERA DE RONDÔNIA,4093
RO,RIO CRESPO,4823
RO,ROLIM DE MOURA,48553
RO,SANTA LUZIA D OESTE,9746
RO,SERINGUEIRAS,14067
RO,SÃO FELIPE D OESTE,6817
RO,SÃO FRANCISCO DO GUAPORÉ,17280
RO,SÃO MIGUEL DO GUAPORÉ,23858
RO,TEIXEIRÓPOLIS,6082
RO,THEOBROMA,11527
RO,URUPÁ,13041
RO,VALE DO ANARI,8924
RO,VALE DO PARAÍSO,8813
RO,VILHENA,128445
RR,ALTO ALEGRE,16966
RR,AMAJARI,9882
RR,BOA VISTA,446468
RR,BONFIM,15054
RR,CANTÁ,20219
RR,CARACARAÍ,21259
RR,CAROEBE,9385
RR,IRACEMA,8479
RR,MUCAJAÍ,18975
RR,NORMANDIA,11706
RR,PACARAIMA,12004
RR,RORAINÓPOLIS,28038
RR,SÃO JOÃO DA BALIZA,7571
RR,SÃO LUIZ,8743
RR,UIRAMUTÃ,9371
RS,ACEGUÁ,5421
RS,AGUDO,20992
RS,AJURICABA,9537
RS,ALECRIM,9166
RS,ALEGRETE,71236
RS,ALEGRIA,5951
RS,ALMIRANTE TAMANDARÉ DO SUL,3357
RS,ALPESTRE,10331
RS,ALTO ALEGRE,2641
RS,ALTO FELIZ,4696
RS,ALVORADA,162404
RS,AMARAL FERRADOR,7871
RS,AMETISTA DO SUL,9528
RS,ANDRÉ DA ROCHA,2341
RS,ANTA GORDA,8106
RS,ANTÔNIO PRADO,15824
RS,ARAMBARÉ,5399
RS,ARARICÁ,9082
RS,ARATIBA,11170
RS,ARROIO DO MEIO,26684
RS,ARROIO DO PADRE,4642
RS,ARROIO DO SAL,11395
RS,ARROIO DO TIGRE,16859
RS,ARROIO DOS RATOS,14615
RS,ARROIO GRANDE,21803
RS,ARVOREZINHA,14491
RS,AUGUSTO PESTANA,9404
RS,BAGÉ,118330
RS,BALNEÁRIO PINHAL,13531
RS,BARRA DO GUARITA,4494
RS,BARRA DO QUARAÍ,4751
RS,BARRA DO RIBEIRO,14442
RS,BARRA DO RIO AZUL,2408
RS,BARRA FUNDA,5002
RS,BARRACÃO,7405
RS,BARROS CASSAL,14231
RS,BARÃO,8167
RS,BARÃO DE COTEGIPE,8569
RS,BARÃO DO TRIUNFO,7578
RS,BENJAMIN CONSTANT DO SUL,3708
RS,BENTO GONÇALVES,120907
RS,BOA VISTA DAS MISSÕES,3401
RS,BOA VISTA DO BURICÁ,9410
RS,BOA VISTA DO CADEADO,3599
RS,BOA VISTA DO INCRA,3784
RS,BOA VISTA DO SUL,4303
RS,BOM JESUS,13083
RS,BOM PRINCÍPIO,16524
RS,BOM PROGRESSO,4198
RS,BOM RETIRO DO SUL,15263
RS,BOQUEIRÃO DO LEÃO,9411
RS,BOSSOROCA,7641
RS,BOZANO,4244
RS,BRAGA,4958
RS,BROCHIER,6561
RS,BUTIÁ,20699
RS,CACEQUI,9415
RS,CACHOEIRA DO SUL,83941
RS,CACHOEIRINHA,176992
RS,CACIQUE DOBLE,6814
RS,CAIBATÉ,6684
RS,CAIÇARA,7261
RS,CAMAQUÃ,69098
RS,CAMARGO,4353
RS,CAMBARÁ DO SUL,8382
RS,CAMPESTRE DA SERRA,4498
RS,CAMPINA DAS MISSÕES,8585
RS,CAMPINAS DO SUL,7806
RS,CAMPO BOM,71119
RS,CAMPO NOVO,6777
RS,CAMPOS BORGES,5543
RS,CANDELÁRIA,34789
RS,CANDIOTA,12217
RS,CANELA,42512
RS,CANGUÇU,63009
RS,CANOAS,466715
RS,CANUDOS DO VALE,3352
RS,CAPELA DE SANTANA,11975
RS,CAPITÃO,5089
RS,CAPIVARI DO SUL,5482
RS,CAPÃO BONITO DO SUL,3498
RS,CAPÃO DA CANOA,52237
RS,CAPÃO DO CIPÓ,7008
RS,CAPÃO DO LEÃO,24564
RS,CARAZINHO,66572
RS,CARAÁ,9801
RS,CARLOS BARBOSA,34314
RS,CARLOS GOMES,2532
RS,CASCA,12017
RS,CASEIROS,5728
RS,CATUÍPE,10581
RS,CAXIAS DO SUL,648670
RS,CAÇAPAVA DO SUL,33629
RS,CENTENÁRIO,4722
RS,CERRITO,8124
RS,CERRO BRANCO,6061
RS,CERRO GRANDE,6941
RS,CERRO GRANDE DO SUL,11132
RS,CERRO LARGO,15302
RS,CHAPADA,13321
RS,CHARQUEADAS,37504
RS,CHARRUA,3963
RS,CHIAPETTA,6133
RS,CHUVISCA,6907
RS,CHUÍ,5549
RS,CIDREIRA,15777
RS,CIRÍACO,6470
RS,COLINAS,3880
RS,COLORADO,5384
RS,CONDOR,9196
RS,CONSTANTINA,12168
RS,COQUEIRO BAIXO,2461
RS,COQUEIROS DO SUL,4104
RS,CORONEL BARROS,3478
RS,CORONEL BICACO,9881
RS,CORONEL PILAR,2577
RS,COTIPORÃ,6027
RS,COXILHA,4646
RS,CRISSIUMAL,17068
RS,CRISTAL,10025
RS,CRISTAL DO SUL,3877
RS,CRUZ ALTA,66089
RS,CRUZALTENSE,2890
RS,CRUZEIRO DO SUL,14589
RS,CÂNDIDO GODÓI,9931
RS,DAVID CANABARRO,7011
RS,DERRUBADAS,4870
RS,DEZESSEIS DE NOVEMBRO,4351
RS,DILERMANDO DE AGUIAR,5072
RS,DOIS IRMÃOS,34336
RS,DOIS IRMÃOS DAS MISSÕES,3394
RS,DOIS LAJEADOS,5196
RS,DOM FELICIANO,16462
RS,DOM PEDRITO,39730
RS,DOM PEDRO DE ALCÂNTARA,4317
RS,DONA FRANCISCA,5263
RS,DOUTOR MAURÍCIO CARDOSO,5548
RS,DOUTOR RICARDO,3773
RS,ELDORADO DO SUL,34487
RS,ENCANTADO,26581
RS,ENCRUZILHADA DO SUL,26750
RS,ENGENHO VELHO,1750
RS,ENTRE RIOS DO SUL,5951
RS,ENTRE-IJUÍS,9497
RS,EREBANGO,4407
RS,ERECHIM,112277
RS,ERNESTINA,4672
RS,ERVAL GRANDE,6881
RS,ERVAL SECO,8961
RS,ESMERALDA,4635
RS,ESPERANÇA DO SUL,5066
RS,ESPUMOSO,19455
RS,ESTAÇÃO,7682
RS,ESTEIO,84093
RS,ESTRELA,37274
